augmentation_family,method_count,best_method,precision_mean,recall_mean,f1_mean,f2_mean,auroc_mean,auprc_mean,f1_max,f2_max,auprc_max
generative,4,Masking Diffusion,0.8861535838912784,0.6435810810810811,0.7448679110023004,0.6804806564357555,0.9784505555825125,0.8706827595702651,0.7593984962406015,0.7112676056338029,0.8877872289902199
traditional,5,Noise injection,0.890518614872106,0.7858108108108108,0.8333789484295874,0.8038673398713765,0.9873809985928478,0.9217272367419083,0.8962962962962963,0.8716540837336993,0.9694026921206224
