method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive
Noise injection,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.83,1.0,0.7073170731707317,0.8285714285714286,0.7512953367875648,0.9918032786885246,0.8175675675675675,0.8962962962962963,0.8473389355742297,0.9959386675724198,0.9694026921206224,54,2
Magnitude warping,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.8099999999999999,0.8652482269503546,0.7439024390243902,0.8,0.7653701380175659,0.9304029304029304,0.8581081081081081,0.8927943760984183,0.8716540837336993,0.9951841428502111,0.9650005674380175,42,19
Comprehensive,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.9262295081967213,0.6890243902439024,0.7902097902097902,0.7262210796915167,0.9698275862068966,0.7601351351351351,0.8522727272727273,0.7944915254237288,0.9942525110388665,0.9563758763629513,71,7
Frequency domain,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.82,0.8041958041958042,0.7012195121951219,0.749185667752443,0.7196495619524406,0.8299319727891157,0.8243243243243243,0.8271186440677966,0.8254397834912043,0.9906157504003106,0.9196863895151071,52,50
Masking Diffusion,generative,1000,5000,247,1000,1247,4.0096230954290295,0.8899999999999999,0.8503937007874016,0.6585365853658537,0.7422680412371134,0.6896551724137931,0.8559322033898306,0.6824324324324325,0.7593984962406015,0.7112676056338029,0.9830996166723276,0.8877872289902199,94,34
Masking GT-GAN,generative,1000,5000,247,1000,1247,4.0096230954290295,0.9099999999999999,0.8879310344827587,0.6280487804878049,0.7357142857142858,0.667098445595855,0.8904109589041096,0.6587837837837838,0.7572815533980582,0.6949394155381325,0.9689128536076472,0.8537607313434676,101,24
GT-GAN,generative,1000,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.8852459016393442,0.6585365853658537,0.7552447552447552,0.6940874035989717,0.8942307692307693,0.6283783783783784,0.7380952380952381,0.6681034482758621,0.9800839439080014,0.8640288206660065,110,22
Diffusion,generative,1000,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.9230769230769231,0.6585365853658537,0.7686832740213523,0.6985769728331177,0.9040404040404041,0.6047297297297297,0.7246963562753036,0.6476121562952243,0.9817058081420739,0.8771542572813663,117,19
Time warping,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.8599999999999999,0.7448275862068966,0.6585365853658537,0.6990291262135923,0.6741573033707865,0.7306273062730627,0.668918918918919,0.6984126984126984,0.6804123711340206,0.9609139211024309,0.7981706582728432,98,73
