method,augmentation_family,f1_max,f1_at_50,f1_at_1000,f1_count_to_95pct_max,f1_50_to_1000_gain,f2_max,f2_at_50,f2_at_1000,f2_count_to_95pct_max,f2_50_to_1000_gain,recall_max,recall_at_50,recall_at_1000,recall_count_to_95pct_max,recall_50_to_1000_gain,auprc_max,auprc_at_50,auprc_at_1000,auprc_count_to_95pct_max,auprc_50_to_1000_gain
Masking Diffusion,generative,0.8111111111111111,0.6460905349794238,0.8007380073800738,500,0.15464747240065002,0.7668067226890757,0.5713245997088792,0.7587412587412588,500,0.18741665903237958,0.7398648648648649,0.5304054054054054,0.7331081081081081,500,0.20270270270270274,0.9284426426370492,0.7872967276794282,0.9284426426370492,500,0.14114591495762108
Filtered Masking Diffusion,generative_filtered,0.8738574040219378,0.6944971537001897,0.8389261744966443,750,0.1444290207964546,0.8423180592991913,0.6466431095406361,0.8423180592991913,750,0.19567494975855526,0.8445945945945946,0.6182432432432432,0.8445945945945946,750,0.22635135135135143,0.9431902937013892,0.7872147500367767,0.9221145258461895,750,0.13489977580941281
ScoreFiltered Masking Diffusion,generative_score_filtered,0.8162544169611308,0.631336405529954,0.7963302752293578,750,0.16499386969940388,0.7943603851444292,0.5181543116490166,0.7571528262386602,750,0.2389985145896436,0.7804054054054054,0.46283783783783783,0.7331081081081081,750,0.2702702702702703,0.897712493194029,0.7906048071222634,0.8971856077381265,750,0.10658080061586306
Comprehensive,traditional,0.8566176470588235,0.6157024793388429,0.8566176470588235,500,0.24091516771998056,0.8135474860335196,0.543002915451895,0.8135474860335196,750,0.2705445705816245,0.7871621621621622,0.5033783783783784,0.7871621621621622,750,0.28378378378378377,0.9496347059967672,0.79634479567752,0.9496347059967672,500,0.1532899103192472
Frequency domain,traditional,0.8487084870848709,0.7247863247863248,0.8487084870848709,500,0.12392216229854613,0.8041958041958042,0.7196198234894773,0.8041958041958042,500,0.08457598070632688,0.777027027027027,0.7162162162162162,0.777027027027027,500,0.060810810810810745,0.9350866487688526,0.7992712381673498,0.9350866487688526,200,0.13581541060150282
Magnitude warping,traditional,0.8648648648648649,0.686046511627907,0.7504835589941973,500,0.0644370473662903,0.8316008316008316,0.6303418803418803,0.6903914590747331,500,0.06004957873285277,0.8108108108108109,0.597972972972973,0.6554054054054054,500,0.057432432432432345,0.948909462173641,0.8082242240030955,0.8994964483221538,500,0.09127222431905835
Noise injection,traditional,0.8856088560885609,0.7475149105367793,0.8856088560885609,750,0.13809394555178156,0.8391608391608392,0.6757728253055356,0.8391608391608392,500,0.16338801385530355,0.8108108108108109,0.6351351351351351,0.8108108108108109,500,0.17567567567567577,0.964624461131007,0.8241185156798161,0.964624461131007,750,0.14050594545119088
Time warping,traditional,0.7102803738317757,0.6802218114602587,0.7102803738317757,50,0.03005856237151694,0.6676036542515812,0.6438068579426172,0.6676036542515812,50,0.02379679630896403,0.6486486486486487,0.6216216216216216,0.6418918918918919,50,0.020270270270270285,0.8172077890435857,0.7624934018031487,0.8172077890435857,1000,0.05471438724043698
