method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive
Frequency domain,traditional,50,5000,247,50,297,16.835016835016834,0.8799999999999999,0.6706586826347305,0.6829268292682927,0.676737160120846,0.6804374240583232,0.7335640138408305,0.7162162162162162,0.7247863247863248,0.7196198234894773,0.96270197486535,0.7992712381673498,84,77
Masking Diffusion,generative,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.8412698412698413,0.6463414634146342,0.7310344827586207,0.6777493606138107,0.8849557522123894,0.6756756756756757,0.7662835249042146,0.7092198581560284,0.970299383764375,0.8499557143068392,96,26
Noise injection,traditional,200,5000,247,200,447,11.185682326621924,0.8699999999999999,0.7985611510791367,0.676829268292683,0.7326732673267327,0.6981132075471698,0.8333333333333334,0.7432432432432432,0.7857142857142857,0.7596685082872928,0.9760771992818672,0.8710987831718803,76,44
Magnitude warping,traditional,500,5000,247,500,747,6.693440428380187,0.83,0.90625,0.7073170731707317,0.7945205479452054,0.7397959183673469,0.9266409266409267,0.8108108108108109,0.8648648648648649,0.8316008316008316,0.9909444902712408,0.9398477473221344,56,19
Filtered Masking Diffusion,generative_filtered,750,5000,247,750,997,5.015045135406218,0.8499999999999999,0.9375,0.7317073170731707,0.821917808219178,0.7653061224489796,0.952191235059761,0.8074324324324325,0.8738574040219378,0.8327526132404182,0.990904459216847,0.9431902937013892,57,12
Filtered Masking Diffusion,generative_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.84,0.8450704225352113,0.7317073170731707,0.7843137254901961,0.7518796992481203,0.8333333333333334,0.8445945945945946,0.8389261744966443,0.8423180592991913,0.9881969042651269,0.9221145258461895,46,50
