method,n_real,n_generated_used,mean_abs_diff,std_abs_diff,corr_abs_diff,gen_to_real_nn_mean,gen_to_real_nn_median,real_to_gen_nn_mean,real_to_gen_nn_median,centroid_distance,real_coverage_within_0.25_median_real_dist
GT-GAN,247,247,0.7875417470932007,0.3352895975112915,0.4509760523146788,15.43352416266314,16.51898956298828,15.306671949533316,15.546074867248535,9.995635032653809,0.0
Masking GT-GAN,247,247,0.003390380647033453,0.000555014587007463,0.001185176740124465,0.01186651542315237,0.011434214189648628,0.9347120210799852,0.010812819935381413,0.49495118856430054,0.8906882591093117
Diffusion,247,247,0.10978055000305176,0.29772844910621643,0.3558723894318729,13.983638759566706,14.0838041305542,12.984991845814323,12.656682014465332,3.4397459030151367,0.0
Masking Diffusion,247,247,0.011098567396402359,0.011542153544723988,0.011257995141634013,1.5564062214090757,1.5283210277557373,1.896943813393473,1.4012264013290405,0.7919723391532898,0.9352226720647774
